start	end	text
0	3120	Welcome to our year-end review, part two.
3120	6040	If you're tuning in for the first time, this is a special episode during which we
6040	9440	give you one headline from every country in the world from the past year.
9440	13440	The caveat is, hopefully, it's a headline you hadn't heard and has little to do with
13440	14440	the C-word.
14440	18640	We did this last year and we organized countries by population size, counting down from largest
18640	19720	to smallest.
19720	23480	This year, we are doing a count-up organized by the Human Development Index, which is a
23480	27520	number between zero and one determined by the United Nations, based on a series of metrics
27520	30160	including education, longevity, and earnings.
30160	33880	We are halfway through the list and will end with a country that has the highest HDI in
33880	34880	the world.
34880	38560	If you haven't watched part one, we suggest you do that too, where we explain the HDI
38560	39560	breakdown in detail.
39560	43160	If you're joining for part two, thanks, because it means you like part one.
43160	45560	Without delay, here's two.
45560	49480	Distancing themselves is something that a Dutch organization is trying to do with Astrid
49480	53860	Romer, a poet from the former Dutch colony of Suriname, after it awarded her with a prestigious
53860	55880	literary prize earlier this year.
55920	59720	Recently, she made controversial statements supporting murderous former president of Suriname
59720	64080	Desi Buterce, and the Dutch organizers of the award chose to forgo the ceremony honoring
64080	67160	her and simply gave her the cash prize with little fanfare.
67160	70720	Romer, like any real poet, is sticking to her words.
70720	74360	Back underground we go, this time to Petit Mustique, which is part of St. Vincent and
74360	78920	the Grenadines, where a human skull was unearthed on this remote, rugged island in 2003.
78920	84120	And this year, researchers at the University of Oregon may have uncovered why it was there—skeletal
84120	88360	abnormalities show the female likely had leprosy, and this isolated part of the Caribbean was
88360	92000	probably used to keep people with the disease away from the public—something that many
92000	94760	have speculated, but this finding actually supports.
94760	99760	The skull dates back 200 years, and is possibly the earliest case of leprosy recorded in the
99760	100760	Americas.
100760	104160	There is also some speculation that Tunisian president Kayis Said's appointment of a
104160	107760	female prime minister may have been a way to calm critics who say he's overreaching
107760	111080	his power in the Arab Spring's only remaining democracy.
111080	115520	Before Najla Boudin-Ramadanhay's appointment, Said had already suspended Parliament, seized
115520	118800	power, and fired the previous prime minister, and because Ramadanhay doesn't have a lot
118800	122580	of political experience, her trajectory could be challenging—but she is already making
122580	126160	history as the first female prime minister in the Arab world.
126160	130240	The Maldives have the unenvious position of exemplifying climate change's already dire
130240	134300	effects on low-lying nations, where 30% of the country's annual government budget is
134300	136760	being spent on adapting to climate change.
136760	140600	Developed nations have agreed to spend $100 billion to help vulnerable countries adapt,
141120	144040	but Maldives' speaker of parliament wants more—he's asking that rich nations also
144040	147820	pay reparations to help the others deal with the consequences they're already suffering,
147820	149840	and likely didn't cause.
149840	153800	Islands in the Caribbean continue to bet big on tourism, especially countries like Dominica,
153800	157600	which offers citizenship by investment through properties like the six-star resort of Secret
157600	158600	Bay.
158600	162160	For the fifth year in a row, Dominica was named the best country for second citizenship
162160	164200	by Professional Wealth Management magazine.
164200	167840	The second home citizens have primarily come from Africa, but with a new non-stop flight
167840	171640	from Miami running, that could potentially change with Americans starting to look south
171640	173880	for another home and passport.
173880	178120	Added bonus, Dominican residents now get visa-free access to China.
178120	182360	When we say coral reef, you probably say, ugh, that's because a lot of news about
182360	186320	the ocean's critical habitat for fish species is generally bad, and that could have been
186320	191080	the expectation after tropical cyclone Winston caused more than $1.4 billion in damage to
191080	196040	Fiji in 2016 and pummeled the island's reefs, but they've bounced back in a big way as
196040	199960	young coral colonies have taken off, much to the delight of researchers, residents,
199960	202920	and likely the colorful fish that have found a new home.
202920	206920	Also in repair are more than a handful of the 130 precious historical artifacts that
206920	210000	were destroyed in the harbor blast in Lebanon that killed 200 people.
210000	213880	While the objects pale in comparison to human lives, their historical significance remains
213880	218760	important, and that's why the British Museum granted $29,500 in restoration funds to help
218760	223360	repair some of the more critical glass vessels, which are nearly 2,000 years old.
223360	227840	Here on the northwest tip of Africa, an ongoing conflict between Algeria and Morocco might
227840	229280	leave Spain in the cold.
229280	233600	Spain gets about half of its gas from Algeria, which pumps it through a pipeline in Morocco.
233600	237640	Morocco depends on Algeria for about 10% of its gas, and Algeria suspended this pipeline
237640	241600	to both countries to upset Morocco in an ongoing territorial dispute.
241600	245080	It turns out, this may affect Spaniards the most, and we'll still be able to get gas
245080	248440	through alternate routes, but at much higher prices.
248440	250560	Moldova is running out of gas too.
250560	254320	At the end of its contract with Gazprom, Moldova declared a state of emergency when
254320	258040	the Russian energy company raised its gas prices and slashed supply.
258040	262100	Accused of using gas as leverage, allegations have surfaced that contract renegotiations
262100	266120	involve discussion of political issues regarding Moldova's separatist region of Transnistria
266120	268520	and its connection to the EU.
268520	272200	Associated with the EU but reliant on Russian resources, Moldova frequently finds itself
272200	276040	in the unenviable position of sitting between east and west.
276040	280520	From unenviable to regrettable, a mafia fugitive did himself in by appearing on a YouTube cooking
280520	283200	show in his adopted home of the Dominican Republic.
283200	287120	Though he never showed his face while flashing his Italian culinary chops, Mark-friend Claude
287120	289440	Biart's tattoos gave him away to the police.
289440	293020	A member of Italy's largest mafia, who fled Europe when accused of trafficking cocaine
293020	298000	into the Netherlands, Biart led a quiet, unassuming, and, in hindsight, too comfortable life in
298000	299360	the city of Boca Chica.
299360	304220	An apocalyptic scene unfolded just off the coast of Azerbaijan as a column of fire blasted
304220	305520	out of the Caspian Sea.
305520	309620	While the Caspian is dotted by various offshore oil rigs, the assumed culprit for the flare-up
309620	313580	wasn't a leaky Soviet-era pipeline, but one of the region's infamous mud volcanoes
313580	314780	sparking the blast.
314780	318940	Dubbed the Land of Fire, Azerbaijan is home to major oil reserves and hundreds of these
