start	end	text
0	4560	You know, recently I feel like there's been a lot of tension between me and this website.
4560	7680	I'm just sensing a lot of conflict here, you know?
7680	11600	And I feel like it's creating a very angry and hateful environment.
11600	13680	And no one likes that, right?
13680	16240	I just have so much anger built up, you know?
16240	19440	With all the censorship and the demonetization
19440	21280	and the funding pedophiles
21280	24160	and the 2017 memes sucking complete dick.
24960	26720	It's all got me a little on edge.
26720	28480	I'm just so confused.
28480	30240	YouTube is so unstable.
30240	32320	YouTubers have no idea what's going on.
32320	36400	And I'm pretty sure YouTube has no idea what's going on.
36400	40080	The CEO of YouTube doesn't even know how to make a YouTube video.
40080	42240	I just don't understand what's going on anymore.
42240	46000	Why are washed up Disney Channel stars the face of this website again?
46000	47760	Nothing makes any sense.
47760	49520	I just have so many questions.
49520	51760	All I want are some answers.
51760	54320	All I need is some guidance.
55120	56800	And that's when I found it.
56800	61200	For on this momentous day, I was visited by a wise monk
61200	64720	by the name of YoloGuy929 the tooth.
64720	70160	At DankMeme929, this agent of divine intervention
70160	75200	provided me with the greatest epiphany of my YouTube career.
75200	83120	YoloGuy929 enlightened me to the almighty YouTube prophet, Montazon.
83840	86720	Now normally, I'm not a very spiritual person.
86720	88880	But that's just because I was blinded.
88880	92320	Blinded by greed and selfishness.
92320	99680	I was blind to Montazon's eternal and undying love for all of his children.
99680	102000	The children of YouTube.
102560	105840	If you look back through history, Montazon appears everywhere.
106400	110320	He is an omniscient and omnipresent being.
110320	114960	He transcends time and petty human conflict.
114960	120000	If you upload a video to YouTube, Montazon is watching.
120000	122400	Because Montazon loves you.
122960	124560	Now I know what you're thinking.
124560	128160	Montazon demonetizes and censors YouTubers.
128160	129680	So how can he love us?
130240	136240	Well allow me to deliver you all a sermon from the book of Montazon.
136640	143200	In the beginning, there were only four YouTubers.
143200	149120	Ellen DeGeneres provided us with hilarious funny comedy epic memes.
149120	154720	As she is a hilarious and funny female LGBT comedian.
154720	162720	The Rock provided us with incredible acting and thrilling motion picture cinematic action adventures.
163360	166960	Jimmy Kimmel made us all learn the powerful lesson
166960	173040	that all the world's problems are the fault of us weak and pathetic peasants.
173680	178320	And he reminds us that celebrities are strong,
178320	184080	brave and will solve all the world's problems by being a celebrity.
184640	191840	And finally, Taylor Swift Vivo provided us with the soundtrack of our lives
191840	195360	through her innovative and groundbreaking music
195360	200400	that has surpassed the quality of the greatest musicians in human history.
201120	206320	These four original YouTubers lived together in harmony.
206320	212880	Then everything changed when the evil, racist, sexist, homophobic, transphobic,
212880	218480	racist, fascist, racist, racist, racist, evil, racist video gamers attacked.
218480	225440	Led by their leader, PewDiePie, the gamers tried to destroy the harmony of YouTube
225440	229920	by being racist, sexist, homophobic, evil, racist, sexist, racist, racist.
229920	234000	Video games, evil, racist video games.
234560	236560	Racism is bad.
236560	241680	Racism was going to evilly destroy YouTube.
242240	246160	Who was brave enough to save Ellen DeGeneres, The Rock,
246800	252000	Jimmy Kimmel and Taylor Swift Vivo from the racist, sexist, homophobic,
252000	256400	transphobic, racist, racist, racist, racist, racist video gamers.
256400	261120	Then just when the racist video gamers were about to complete their plan
261120	267760	and turn YouTube into racist tube, Montazon sacrificed himself to save YouTube.
268320	272160	Montazon died for our racist sins.
272960	281920	Montazon made the greatest sacrifice of all because Montazon loves you and Montazon loves YouTube.
281920	290480	Montazon gave up his physical form so he can watch over all of us and protect us from evil racism.
290480	293680	Montazon made the greatest sacrifice of all.
293680	300000	So is it too much to ask for you to sacrifice a little bit of your ad revenue to Montazon?
300000	301040	I think not.
301760	307840	Every time your video gets demonetized, that is just Montazon protecting you from evil racists.
308480	315120	Montazon is gifting you with his protective touch and you should be grateful for his sacrifice.
315680	321360	That yellow dollar sign is just a sign that Montazon is watching over you
321920	324640	and keeping you safe from racism.
325360	328160	So don't get mad at YouTube anymore.
328160	335440	Instead, be thankful that Montazon sacrificed himself so that YouTube can exist at all.
336320	341200	So take this holiday season and give thanks to Montazon.
341840	348880	And always remember, Montazon is watching and Montazon loves you.
