start	end	text
0	25240	Oh, what's this, Jack? Why is everyone mad at you? Why do you get heckled wherever you
25240	29740	go? And you know what? It's not just the hecklers. It seems like the world's governments
29780	36740	are finally taking notice of Twitter. India to Twitter. Comply with IT rules or face unintended
36740	41340	consequences. India's new rules, which were announced in February and which became effective
41340	46200	at the end of last month, are aimed at regulating content on social media and making firms such
46200	52300	as Facebook, its WhatsApp messenger, and Twitter more accountable to legal requests. They also
52300	57420	require big social media companies to set up grievance redressal mechanisms and appoint
57420	62780	new executives to coordinate with law enforcement. Back at the start of the year, Uganda decided
62780	66100	to take a swing at Twitter too. Ahead of the Ugandan election, we're hearing reports that
66100	70660	the internet service providers are being ordered to block social media and messaging apps.
70660	75940	We strongly condemn internet shutdowns. They are hugely harmful, violate basic human rights
75940	79980	and the principles of the open internet. Oh, internet access and social media is a human
79980	84740	right now. In fact, take that even further. When Nigeria decided to ban Twitter a few
84740	89600	days ago, nationwide, Twitter had a similar response. We are deeply concerned by the blocking
89600	94180	of Twitter in Nigeria. Access to the free and open internet is an essential human right
94180	99180	in modern society. We will work to restore access for all those in Nigeria who rely on
99180	103260	Twitter to communicate and connect with the world. Now, I'm not here to simp for Nigeria
103260	109500	or Uganda or whatever, but an essential human right, eh? This is a topic I did a video on
109500	113380	before, called Health Care is Not a Human Right. And just as a reminder, that video
113380	117540	wasn't actually anti-universal healthcare. I simply pointed out that universal healthcare
117540	123060	is a privilege that rich nations should provide to its population, but it wasn't a right.
123060	127240	Because a right is something that is inalienable, meaning that force can't take it from you
127240	131180	without killing you. This is why, for example, you have a right to free speech. If you're
131180	134940	standing on public property and saying whatever you want, people can hate what you're saying,
134940	138860	they can hate you, you might lose your job or something. But the actual physical action
138860	143200	of speaking, they must use violence on you to stop it. That's why a right is something
143240	147720	that is intrinsic to you. If you have a right to healthcare, that means that even if you
147720	152640	can't pay for the healthcare, even if the doctors don't get paid at all by anybody,
152640	155760	if they don't give you healthcare, even if they have a good reason not to, they're
155760	159800	violating your rights. A conception of rights that requires somebody else to take a positive
