start	end	text
0	1880	Hey guys, Dev here.
1880	4640	Stick around to the end of the video because I have some announcements to make, if you
4640	5640	don't mind.
5640	10120	I'm sure at this point, everyone knows who George Floyd is.
10120	12000	Very quickly, in case you don't.
12000	19560	On May 25th, 2020, George Floyd was killed by Derek Chauvin, a Minneapolis police officer.
19560	25560	During Floyd's arrest, Chauvin put his knee on Floyd's neck for 8 minutes and 46 seconds.
25560	27840	A video of the killing went viral.
27840	32380	And in it, if you have the stomach to do so, you can actually watch George Floyd die.
32380	36840	The Minneapolis Police Department's first move was to cover it up, as most American
36840	38120	PDs do, generally.
38120	41060	Here's a statement regarding the official autopsy.
41060	46160	The autopsy revealed no physical findings that support a diagnosis of traumatic asphyxia
46160	47640	or strangulation.
47640	52600	Mr. Floyd had underlying health conditions, including coronary artery disease and hypertensive
52600	53600	heart disease.
53780	58960	The combined effects of Mr. Floyd being restrained by the police, his underlying health conditions,
58960	63820	and any potential intoxicants in his system likely contributed to his death.
63820	68520	This was the Police Department's attempt to basically wave away the blame, and it was
68520	69840	quickly dropped.
69840	72740	Especially when a second coroner's opinion came out.
72740	73860	Cause of death.
73860	79760	Cardiopulmonary arrest complicating law enforcement subdual, restraint and neck compression.
79760	80760	Manner of death.
80760	81760	Homicide.
81760	83280	How injury occurred.
83280	88160	Decedent experienced a cardiopulmonary arrest while being restrained by law enforcement
88160	89420	officers.
89420	91020	Other significant conditions.
91020	94280	Ardeosclerotic and hypertensive heart disease.
94280	96080	Fentanyl intoxication.
96080	98240	Recent methamphetamine use.
98240	102660	I recall a few weeks ago, the common consensus was that the American people were being gaslit
102660	106440	by the Minneapolis Police Department, as well as those media outlets that were publishing
106440	113280	their propaganda, which said stuff like, any potential toxicants in his system likely
113280	118940	contributed to his death, but it turns out, no, he had actually recently used meth.
118940	121260	And man, it always ends up being this way, doesn't it?
121260	125460	How many times have we seen now, where a police officer kills somebody, usually, but not always
125460	126460	a black person.
126460	130600	The community is outraged, there's peaceful protests, there's riots, but then as the
130600	135040	wheels of justice continue to move, they discover that the victim was not just an innocent boy
135040	139000	going to college, but he may have actually done something wrong.
139000	141120	So let's examine the possibility.
141120	143880	Does George Floyd fall into that category?
143880	147920	According to court records in Houston, which is where George Floyd used to live, he was
147920	149820	arrested seven times.
149820	151460	Drug possession in 1997.
151460	153660	Two counts of theft in 1998.
153660	158080	Failure to identify, which you have to do as a fugitive, obviously, in 2001.
158080	160000	Drug possession, 2002.
160000	161540	Trespassing, 2003.
161540	163540	Drug possession, 2004.
163540	165260	Weapon, 2005.
165260	168300	Aggravated robbery with a deadly weapon, 2007.
168300	170660	That last charge is the most interesting.
170660	171660	Here's the story.
171660	177840	George Floyd and five other people arrived at the house of Araceli Henriquez and Angel
177840	180540	Negrete, as well as their young toddler.
180540	184980	One of them, it's not clear if it was George Floyd or somebody else, was dressed in a blue
184980	187720	uniform and said they were with the water department.
187720	191400	When Henriquez opened the door, the man forced himself into the house.
191400	195960	At the same time, five other men arrived in a black Ford Explorer.
195960	201440	The largest of the six, presumably George Floyd because George Floyd is 6'7", placed
201440	206160	a pistol against Henriquez's abdomen and forced her into the living room area of the
206160	207160	residence.
207160	212240	This large suspect proceeded to search the residence while another armed suspect guarded
212240	216240	Henriquez, who was struck in the head after she tried to scream for help.
216240	220800	As the six suspects looked through the residence, they demanded to know where drugs and money
220800	224160	were, and Henriquez told them there were no such things in the residence.
224160	228040	The suspects then took some jewelry along with a cell phone before they fled the scene
228040	230020	in their black Ford Explorer.
230020	235140	Three months later, the black Ford Explorer was found, and George Floyd was the driver.
235140	237540	George Floyd pled guilty in 2009.
237540	242240	He was sentenced to five years in prison, and he got out on parole in 2013.
242240	245900	After getting out of jail, George Floyd turned his life around, at least for a little bit.
245900	248400	Multiple articles have been written about the subject.
248400	251520	After jail, he moved to Minneapolis, hoping to start a new life.
251520	256280	He left at least one child behind in order to do so, but fine, he moves on with his life.
256280	257280	He gets married.
257280	258440	He has more kids.
258440	260920	He becomes a mentor of other young people in his community.
260920	262160	He works with his church.
262160	265920	He helped his mother exercise and recuperate after she had a stroke.
265920	268880	He worked as a truck driver, a bouncer, and a security guard.
268880	273240	A few months before his death, he lost his job as the bouncer of a bar because of the
273240	278280	whole coronavirus thing, and he in fact contracted coronavirus himself and later recovered.
278280	286320	George Floyd's crime was trying to pass off a counterfeit $20 bill at a Cup Foods location.
286320	291040	According to an interview with the owner of that Cup Foods location on The Cut, the owner
291040	295460	knew Floyd, calling him a big teddy bear who would come to the location a few times a week
