start	end	text
0	4000	A breathtaking scientific revolution is taking place.
4000	7500	Biotechnology has been progressing at stunning speed,
7500	11500	giving us the tools to eventually gain control over biology.
11500	14500	On the one hand, solving the deadliest diseases,
14500	18500	while also creating viruses more dangerous than nuclear bombs,
18500	21000	able to devastate humanity.
21000	22500	What's going on?
25500	28500	Biotechnology is increasingly everywhere.
28500	32500	The cotton in your clothes, the vegetables you eat, your dog.
32500	35000	Humans manipulate living things.
35000	39500	We use bacteria to produce insulin, connect prosthetics directly with our brains,
39500	43000	and make industrial enzymes to produce paper.
43000	47000	Gene therapy creates cures to previously untreatable diseases,
47000	51000	while we're working on food crops resistant to climate change.
51000	54500	Our mastery over biology has been speeding up so much,
54500	57500	that within weeks of the first COVID-19 case,
57500	61500	the unknown coronavirus was broken down in laboratories and analyzed.
61500	64500	Scientists generated a copy of its genetic material
64500	69000	to create a vaccine that was ready for testing months after the pandemic began.
69000	72500	Something unthinkable a decade ago.
72500	75500	Where is all this sudden progress coming from?
75500	77500	Well, it's complicated.
77500	81000	But in a nutshell, really expensive things got cheap,
81000	85000	and knowledge of how to do impressive things spread freely.
85000	88000	The Human Genome Project, starting in 1990,
88000	92000	was the first major attempt to read human DNA in its entirety.
92000	96000	Thirteen years and three billion dollars later, it was complete.
96000	101500	By then, the cost of decoding a human genome had fallen to about one hundred million dollars.
101500	107000	Today, it's one hundred thousand times cheaper, costing only about a thousand dollars.
107000	108500	How is that possible?
108500	112000	Converting DNA into computer data and then studying it
112000	114000	used to be a super tedious process,
114000	118000	taking expert humans around three years of manual work.
118000	123000	Today, it takes about two weeks and is almost completely automated.
123000	127500	Biotechnology has gone from something restricted to the best and well-funded laboratories,
127500	129500	staffed by the world's top experts,
129500	134000	to something affordable enough for hundreds of thousands of people to casually work on.
134000	136000	What sped up the process even more,
136000	139500	is that information in the field is shared widely and freely.
139500	144000	Cutting-edge discoveries now take just about a year to be copied in laboratories around the world,
144000	147000	a few years for anyone with a biology background to work out,
147000	151500	and a bit over a decade for high school students to experiment with them in schools.
151500	155500	Imagine that your local computer repair shop could build a pristine iPhone 11
155500	157500	with just the parts lying around,
157500	161000	and that teenagers are asked to build a new iPhone 5 for homework.
161000	164000	Not a crappy homemade version, the real thing.
164000	169000	This is what's going on right now in biotechnology, a true revolution.
169000	174500	We are adding knowledge at unprecedented rates, while things get ever faster and cheaper to do.
174500	179000	This speed means we can expect even more wonderful things for humanity.
179000	185000	Lifesaving treatments, miracle crops, and solutions to problems we can't even imagine right now.
185000	188500	But unfortunately, progress cuts both ways.
188500	194500	What can be used for good, can also be used for bad, by accident or on purpose.
