start	end	text
0	10320	Justin Trudeau called an election and you know what that means it's another SFO
10320	14640	Trudeau video. I've done a few of these now over the course of the history of my
14640	19120	channel and we vote in the 20th so now is as good a time as any. First of all I
19120	23140	want to make it clear that absolutely nobody wanted this election and it's
23140	27440	almost insane that Justin Trudeau would call it because the ball was in his
27440	30320	court. For those of you who don't know Canada works on the British
30320	34600	parliamentary system. The idea is if you have a majority of the seats in the
34600	39840	House of Commons your party is locked in for five years and so when Justin Trudeau
39840	44760	won a majority in 2015 he was locked in for five years. The next election saw him
44760	48200	win a minority. A minority government is when you don't have enough seats to form
48200	51920	the majority but other parties decide to prop you up in the coalition and
51920	55840	generally a minority government topples because those other parties have
55840	59400	withdrawn support triggering an election. Didn't happen this time though
59400	64520	this time Trudeau just triggered one out of the blue and even now nobody seems to
64520	68360	know why it just seems like he thinks he's really popular and he can try and
68360	72720	get another majority. It really feels like a power grab and so far it's kind
72720	77400	of been backfiring in his face. So a few months ago this motion went through
77400	82200	Parliament. Now a motion is not a a legally binding document it's not a law
82200	87080	it's just Parliament's declaration of intent and the motion reads that the
87080	90580	House remind the government that a general election was held in October
90580	97100	2019 and sadly note that more than 1.3 million Canadians including almost 360
97100	102560	thousand Quebecers have been infected with COVID-19 and that nearly 25,000
102560	107400	people have died as a result and in the opinion of the House holding an election
107400	111480	during a pandemic would be irresponsible and that it is the responsibility of the
111480	114680	government to make every effort to ensure that voters are not called to
114680	120000	the polls as long as this pandemic continues. And nearly everybody agreed to
120000	127120	this motion 320 yeses one no including all the liberals including Trudeau
127120	130880	himself and yet just a few months later on August 19th Trudeau called his
130880	135760	election. I can't emphasize enough how how dumb this seems to be like there was
135760	140080	no reason to do it Trudeau's popularity was already down his opponents are
140080	143920	actually stronger than they were in 2019 regardless of how you feel about
143920	148480	coronavirus the population here in Canada certainly does not want to be
148480	153880	voting during the pandemic this has been a deeply unpopular move and it has
153880	158200	exposed Trudeau's baldness in trying to consolidate power Trudeau's public
158200	162480	events have been marred by protesters.
170080	177600	To stand up for people here and you know what we did it we won you guys are
177600	184200	still able to export to the United States on privileged terms thanks to our
184200	187560	collective success then.
187560	204600	At one point his campaign bus was blocked in by angry people
217560	219600	Oh
247800	252760	At another event people threw rocks at him and by the way that's assault guys
252760	262680	don't don't go throwing rocks at anybody all right. He has had to cancel events
262680	267360	due to how deeply unpopular he is. Hey Trudeau remember how liberal leaders
267360	272360	used to deal with protesters in their way? I sure do. Over the course of the
272360	276520	campaign the Canadian polls have looked something like this the Liberals down
276520	281040	the Conservatives up the NDP sitting in a comfortable third place as they always
281040	285760	do a complete destruction of the Green Party and the PPC is slowly rising up
285760	289260	however now that we're closer to the polling day the Liberals and
289260	293340	Conservative are both neck and neck but not because the Liberals went up but the
293340	298400	Conservatives went down instead the PPC is rising now I'm not somebody who's
