start	end	text
0	9180	Hello everyone, welcome to Tech Talk Tuesday. This is going to be a bit of a different episode
9180	12600	because I might have to cut it short, randomly out of nowhere. Naomi's currently getting
12600	17000	all four of her wisdom teeth out, all at once. She's going to be doing pretty bad when she
17000	21440	gets back, so I'm squeezing this in while she's at the dentist. I'll be taking off as
21440	25800	soon as she's done, so my time is actually very limited today. And for, let's say, the
25800	29800	fifty of you who actually watch my gaming streams, this does mean she's not going to
29800	34240	be around for at least a week. She can only eat liquid foods for like four days, and she
34240	37760	can't really have anything crunchy for another few weeks after that. And also she's going
37760	42440	to be on painkillers and lying around for what the dentist estimates to be maybe a week,
42440	46440	maybe a little bit less. So, no Naomi for a while, and I'm squeezing in this Tech Talk
46440	50400	Tuesday in the spare half an hour or so I have before going to pick her up. So let's
50400	51400	get right to it.
51400	56040	Can you be racist to white people? No. Why not? Educate yourself on racism. You cannot
56040	60640	be racist to white people. Educate yourself. But how? Why? If you look it up, you'll understand.
60640	68000	That's racist. That is racist, you fuck. This person is racist. Yes, because who was enslaved?
68000	73160	White people were enslaved too, by the Ottomans. Have you ever thought like maybe racism. Like
73160	78120	a bunch of Muslim empires enslave white people. Doing that so we fight amongst each other.
78840	83160	I'm being for real. I don't believe in it. Why can't we all just be friends? Why not?
83160	89560	Wow. Wow. That bitch is actually a racist. Listen, I don't buy the intersectional definition
89560	93680	of racism where you can't be racist against white people because white people spent some
93680	98600	time as the world hegemon. That's bullshit. Every group has been an oppressor. Every group
98600	102320	has been oppressed. And this person is just a fucking racist. And she gets away with it
102320	103920	because she's a brown racist.
103920	116880	This is a dead club. No, you can't approach the girl. Not allowed. No flirting allowed.
116880	126040	Here, I'll take you to safety from that sexual contact. There's a concept I have to cover. Maybe
126040	131960	I'll do it in like a main video called safe horny, where the idea is that this sort of normal sexual
131960	135680	interaction between, you know, a decent looking guy, a decent looking girl talking to each other
135680	140840	in a social situation. That's exploitative and terrible. And there's actually a safe horny way
140840	145360	that progressives like because you can tell when that when that ham planet came in and was like,
145360	148880	Nope, you can't talk to her. You know, she thought she was saving that girl from them.
148880	152920	Do you agree or disagree with the following statement? It is okay to be white.
152920	157720	Another race one. No, that's not it. That's not okay. Why not? It's terrible to be white.
157720	167360	What the fuck? What the fuck? What does she racist? Why is it not okay to be white?
167360	174520	What built civilization?
174520	178640	Too much good or too much bad?
178640	189000	Jesus Christ, these people are just racist. They're just anti white racist. That's it.
189000	194120	Imagine saying being black is bottom of the barrel. You'd be fucking crucified for that.
194120	201260	These people are disgusting. Oh, no, this is from fat pause a queer. I'm I can't wait for the cancer.
201260	210340	The guy at the window called me ma'am or madam like five times a girl. It's not a girl. Yeah,
210340	216780	like, thanks, ma'am. Jesus. At the very end of the interaction. He said have a blessed day.
216780	224180	I get misgendered all the time. What it is what it is. I don't want to explain your you're a woman
224180	229940	though. This is different. This felt very there's nothing masculine about you ladies cranky because
230940	235140	who did you mean with the hero comics? I'm on Andrew Tate like who Donald Trump maybe like who's
235140	239820	who's going to jail here lady, but no man, there's some like expert level delusion when it comes to
239820	244060	people like this. You know, if you see somebody who who passes or puts in a lot of effort to
244060	247540	looking like the other gender, you know, fair enough. It's probably reasonable to be miffed
247540	252700	that someone was impolite enough to misgender you, you know, calling Blair white a he doesn't make any
252700	257060	sense. That seems kind of rude. But this person all you've got is a shaved head lady nothing
257060	259900	masking about you. You're still a woman. You still look like when you still sound like one.
259900	265460	That's it. The reason that you're doing this trans non binary whatever crap is that you're 45. You
265460	269660	have nothing else going on in your life and you're sad and lonely. So you take it out by going on to
269660	275260	tick tock and shitting on the zoomer fast food restaurant worker that called you ma'am when you
275260	289860	are in fact a ma'am. Oh, baby, you're screaming. Jesus Christ, guys. I don't got to imagine I'm
289860	309780	hearing it right now. The feelings fucking mutual. Is this how you contribute to politics? You just
309780	324540	shriek. This person's fucking brain damaged. anarchists not even once. Oh my god. It's just it's
324540	331500	just impotent rage is just screaming because you don't get what you want all the time. And that's
331500	335900	what politics is sometimes you don't get what you want. Sometimes you must compromise. Welcome to the
335900	341660	real fucking world. What is it with leftoids and just shrieking irrationally? I mean, we've seen it
341660	345700	we've seen it now for what five years at least. There's always videos of and it's usually like
345700	350620	some chick comes out and just screams that doesn't have a point. She doesn't say anything. She just
350620	357220	reads at the camera. Why is it to show that you're just a fucking child friendly reminder that there
357220	362620	are no minimum requirements that you need to meet to feel like your gender. If you feel like a girl,
362700	367980	you're a girl. No, I have to wear makeup, or dresses or shave or pass at all. Yes, you do.
367980	372500	What matters most is how you feel. Go get it girly. No, dude, that's not true. Which is why
372500	376380	by the way, you're not a girl. You're a femme boy and a choker and you're even a femme boy.
376380	380500	You're not even feminine enough for that. The pushback against this is that gender is not
380500	385340	only how you feel, but it's how you're perceived. That's the point of it. It's a handshake. It's a
385340	392100	social signifier. Part of being masculine or feminine is looking and acting masculine
392100	396340	or feminine. This is why the feminists of yesteryear said that gender is a performance
396340	400460	because it partially is a performance. But these people doing the whole self ID thing have taken
