start	end	text
0	14440	This video is sponsored by Adam & Eve, a store that sells some more risqué items for the mature ladies and gentlemen of this delightful planet.
14440	20640	Use discount code WRITE at the store checkout and receive 50% off one item and free shipping in the US and Canada.
20640	28000	They have a 90 day no hassle return policy and 24-7 customer service, so if that's your jam, then I would certainly recommend them.
28200	29440	Let's get into the video.
39000	43480	Hello, ladies and gentlemen, and welcome to the right opinion, the home of a twat with too much free time.
43480	48960	And for those well accustomed to this channel, you know that I have a habit of covering topics that typically pertain to the YouTube sphere.
48960	53000	I do this for a variety of reasons. It's consistent with my brand. You guys enjoy it.
53000	56640	I have great personal investment in the subjects and the views aren't too shabby either.
56640	63440	All these factors aren't considered when taking on a new project, and as you can envision, my head runs a series of complex mathematical algorithms
63440	66840	to calculate the most suitable themes to cover in my upcoming content.
66840	74720	However, every now and then there is a disturbance in the matrix, the tro computer malfunctions, and a topic is chosen because I feel like it.
74720	79560	Yes, I know, shocking as it may be, I do possess the ability to experience feelings.
79560	84560	Today, this emotional intuition has led me to one of the most iconic talk show hosts of all time,
84600	88600	and perhaps the not so unfamiliar fate that befell them this abysmal year.
88600	94200	You see, as I've subtly alluded to just now, YouTubers have personas, myself included.
94200	97640	Although these personas will seldom completely mirror the individual behind them,
97640	104120	we tend to develop a more personal connection with them than we do with most celebrities because of the many personal elements that have been integrated.
104120	111320	YouTube intimacy has always been a specific selling point, and where we may separate the art and the artist in various branches of entertainment,
111320	114800	with content creators, the relationship seems a little more inextricable.
114800	119520	However, probably one of the most similar genres to that of YouTube is the American talk show host.
119520	123960	I will shut down Twitch. I will shut down YouTube gaming. I have that power.
123960	130880	For years, we have perceived them as an invasive species on the platform, and to be honest, I can't say I'm particularly enthusiastic about their presence.
130880	134920	However, their involvement makes a lot of sense, especially given how they brand themselves.
134920	139320	Hell, the overlap is so obvious now we even have a YouTuber who became a talk show host.
139320	143600	That's a video for another time. For those who are familiar with this brand of TV personality,
143600	150160	you'll know that in spite of the scripted sequences and the big name guests, there's a lot of weight in the actual host and the qualities they hold.
150160	157680	Whether it's the suave-suited, sadonic bite of Trevor Noah, the reasoned incision of Stephen Colbert, or the James Corden,
157680	163920	each holds their own appeal. However, few can lay claim to the degree of market dominance that one woman has commanded,
163920	166360	that woman being Oprah Winfrey.
166360	174760	This calls for a drum roll. Cue the drum roll. All right, open your boxes. Open your boxes. One, two, three.
