start	end	text
0	5520	When people look back on YouTubers and ask themselves who have been the most influential creators on the platform,
5520	10880	there are many individuals that I'm sure come to mind, people who are relevant now, and people who used to be relevant,
10880	18320	whether it's PewDiePie, Smosh, Shane Dawson, Nigahiga, Ray William Johnson, Fred, The Annoying Orange, and so on.
18320	22480	Many creators, past and present, have had a significant cultural impact.
22480	27520	However, when speaking to people about their childhood, one name that seldom seems to come up is
27520	34560	Toby Turner, or Tobuscus, or Toby Games, despite the fact that I'm sure a huge number of people have watched at least one video of his,
34560	40880	two of his channels have amassed over 6 million subscribers each, which is certainly a feat not to be overlooked.
40880	47600	Yet I feel that his story is one that is often overlooked, one that is heavily integrated in the culture that we discuss today,
47600	53600	and one that we can perhaps learn a bit from, and maybe seek to explain how Toby Turner ended his career.
53600	59840	Hello ladies and gentlemen, and welcome to The Right Opinion, the home of a twat with too much free time, and bless your face.
59840	66800	I'm sure not everyone is aware of who Toby Turner is, but for a basic rundown, he is one of the original creators on the platform,
66800	73760	who began his craft in 2006, and 12 years later is still going. As mentioned, however, it's not with the intensity that he used to,
73760	79680	after he probably made a fat stack of cash in his time, or at least enough to keep him going, I can't look into a man's bank account.
79760	85600	He ascended to his peak around the turn of the 2010s, particularly encompassed by the success of his literal trailer series.
85600	90880	On top of this, he also had a gaming channel, in which he would achieve even greater success in terms of subscribers,
90880	97600	in spite of a marginally lower view count. Generally, if you ask someone involved with YouTube what has been their most recent experience with him,
97600	102160	chances are it'll be the allegations, in which Toby Turner was accused of sexual assault.
102160	109040	Now, at the time, this was created in a Tumblr post by an individual named April Fletcher, and this information isn't wholly relevant right now,
109040	112160	but I am going to bring it back up in the future for why it is important.
112160	117920	Turner had three successful channels, have made videos that are pretty much iconic in many people's childhoods,
117920	123520	and had so much media branching out in so many different directions, he almost seemed set to succeed.
123520	130640	I was rewatching a video in preparation by FootofaFerret, in which he runs down the brief history of our good friend Toby here, and he says this.
130640	152720	So it does indeed beg the question, what the hell happened? Even I'm not entirely sure yet, but by the end of the video, I'm sure we'll have a bit more of a definitive answer.
152720	160560	Turner is still uploading content to this day on his channel, mostly more commentary, facecam oriented, and talking about various random topics that interest him,
160560	167760	some topics more trending, others more spontaneous or personal to him. Given the fact that I don't think there's really too much else to summarise in this situation,
167760	172480	we're running ahead of schedule, so without further ado, I suggest we get right into it.
173440	183280	I think we should open up with a fairly uncontroversial statement. Toby Turner is a talented musician.
183280	191680	There is no doubt in my mind about that, he started his Tabuscus channel in 2006, and it did decently, in fact it did fairly well, particularly for views.
191680	200720	Turner's music always had a very distinct style in its delivery, Turner is a guitarist, he's clearly no Van Halen, or else Daddy Derek would have probably wanted his signature,
200720	208960	but he didn't need to be, and that's the first thing we need to talk about when it comes to Turner as a creator. Nothing he made was profoundly musically expert,
208960	217360	but it didn't need to be. The thing is, back in 2006, YouTube existed on its own terms, its content creators didn't have state of the art camera work,
217360	225120	and I know I've spoken about this before, but if it's a premise, it can't be ignored. Turner's stuff was relatively simple at the time, but it was cute,
225120	228320	it was mildly amusing, and Turner could do funny voices.
235680	242880	A lot of people tend to point to the Don't Taze Me Bro as one of Turner's earliest successes, but I'm not sure I entirely agree with that,
242880	251920	and I'd actually say that a far more representative video is the quaintly named Falcor the Urinator, which is essentially a song about his dog and how it pisses,
251920	260400	which, you know, fair enough. I feel that as a video, it was a snapshot into what Turner was about to create, and how mind-blowingly successful he was about to become.
260400	270560	You see, the word meme didn't even begin becoming popularised until the early 2010s, and even then it was a very gradual ascension to the sort of notoriety that it has attained today,
