start	end	text
0	3300	This video was made possible by Squarespace.
3300	9060	Build your web presence for 10% off by going to squarespace.com slash wendover.
9060	14700	Supersonic speed, modular cabin design, all electric power, transparent cabin walls, pilotless
14700	19140	planes, personal jets for everyone—that all sounds great, but what's actually the
19140	20740	plane of the future?
20740	25840	In the next 15-20 years, what will be the next major aircraft release to make an impact
25840	26840	on the industry?
26860	32220	Well, it's not nearly as exciting as those concepts—at least for passengers.
32220	37020	More and more people travel by plane each year and the industry is only growing.
37020	42260	In recent years the Boeing 787 Dreamliner has made a significant impact on the airline
42260	43260	industry.
43260	48500	This relatively small, super-efficient, long-range airplane has allowed for the advent of long-haul
48500	53340	budget airlines and for traditional airlines to open up long-haul routes between smaller
53340	54340	markets.
54340	59720	Now, the near future of aviation has a lot to do with one decision Boeing made almost
59720	64200	a decade ago—a decision they've been regretting ever since.
64200	69600	In 1983, the first Boeing 757 entered into service with Eastern Airlines.
69600	74560	It was billed as a replacement to the successful 727 for popular shorter routes that needed
74560	76900	more seats than a 737.
76900	83240	At the time it was incredibly fuel efficient, burning 40% less fuel per seat than its predecessor.
83240	85900	It sold well, but not phenomenally.
85900	90400	By the turn of the millennium about a thousand were made and sales were slowing rapidly so
90400	94160	Boeing pulled the plug on the aircraft's production in 2004.
94160	99400	But then, in 2007, the aircraft started to be used for something it wasn't intended
99400	101840	for—Transatlantic service.
101840	107220	When the 757 was originally developed airlines weren't really allowed to fly twin-engined
107220	112520	aircraft over long stretches of ocean, but the regulations changed so airlines changed
112520	114040	how they used the plane.
114040	120440	With a range of well over 4,000 miles, the 757 can easily reach most destinations in
120440	123280	Western Europe from the US east coast.
123280	128080	When operating a smaller plane, airlines are almost guaranteed that they can fill the seats
128080	132960	so they're almost guaranteed to make money so, instead of operating larger planes that
132960	138020	might not fill up, airlines started flying this single-aisle, twin-engined plane across
138020	139020	the Atlantic.
139020	144340	The smaller size also allowed airlines to fly to smaller destinations with smaller demand.
144340	149380	United, for example, flies these planes on routes like New York to Shannon, Birmingham,
149380	151620	Edinburgh, Lisbon, and Stockholm.
151620	156920	At the same time, since the plane was originally developed for domestic routes it can easily
156920	162120	be used for shorter domestic flights between transatlantic flights which leads to high
162120	165540	aircraft utilization—a key to profitability.
165540	167740	But these planes are getting old.
167740	172200	Some have been in service for well over 30 years and airlines need to retire them to
172200	177940	remain competitive both with passenger comfort and aircraft efficiency and right now, nobody
177940	181280	really knows what's going to replace these aging 757s.
