start	end	text
0	5040	This video is a treat for me more than anything else, after coming off the heels of the last one.
5040	9920	This is a Let's Player Drama video, guys. So if that kind of nonsense ain't your cup of tea,
9920	13520	click off now. Otherwise, let's go down this wild rabbit hole.
13520	26480	Intro
26480	30320	If you've been watching me for a while, you know exactly how I feel about old YouTubers
30320	34960	and Game Grumps and Egoraptor. We don't gotta rehash that again, so here's some quick context.
34960	39120	When JonTron and Egoraptor realized they needed an editor for Game Grumps, Jon suggested his
39120	44080	high school friend Barry. After Jon left the channel, Barry stayed on, though he also eventually
44080	48880	left. He was replaced by Kevin, who had applied for the editor job like a normal job, rather than
48880	53520	simply being somebody's friend from before. Kevin eventually moved on to pursue an editing career in
53520	57760	Hollywood, stating publicly that he was always more interested in the editing part of the job,
57760	62720	rather than the Let's Play part of the job. Kevin was replaced by Matt and Ryan of Supermega.
62720	66720	At this point, Supermega wasn't really a big channel. Their initial growth came off the back
66720	70720	of the Game Grumps Association. It was a pretty good deal for them. Egoraptor let them record
70720	76000	the Supermega episodes in the Game Grumps office and using Game Grumps equipment and game library,
76000	80800	as well as giving them a ton of cross-promotion. Once Supermega became popular in its own right,
80800	84960	Matt and Ryan quit the Game Grumps editor job and branched off to do their own thing.
84960	88880	These two guys are cut from the same cloth as everybody else in this sphere. Edgy as fuck back
88880	93280	during the mid-2010s, which made them appealing and helped them grow, but in 2023 they're hyper
93280	97440	progressive, shitting all over anybody who still likes edgy jokes and pulling up the ladder behind
97440	102320	them. A classic case of trolls remorse. For example, back during the 2020 Summer of Love,
102320	105840	while Egoraptor was waffling over whether or not he should talk about Black Lives Matter
105840	110160	with his platform because, well, he is a gaming channel, not a political one, while his fans
110160	114240	strung him up for it because everything is political, Supermega immediately jumped right
114240	119040	in to chant BLM along with everyone else. Anyway, we're here to talk about, specifically,
119040	123280	the Supermega sex pest allegation. Now, I've had my butt burn on topics
123280	126880	like this before. I was wrong about the ProJared thing a few years back. He ended up being
126880	130960	innocent. I was riding the hype train. It's always a bit cathartic to see a former edgy
130960	136080	boy turned progressive get hit with allegations, but he was ultimately innocent. I was wrong to
136080	139600	talk about it the way that I did. I even apologized to him, though I don't think he even knows who I
139600	144640	am. But the point is, after the ProJared story, I made the decision to not cover shit like this
144640	148880	until the hype died down. And, well, it's been a couple weeks. The hype has died down. I know
