start	end	text
0	5560	Once upon a time, in a land far, far away, there was a family.
5560	8920	"- I got you a banana too!
8920	11600	Okay, I don't want to do this."
11600	16620	But this wasn't just any family, this was a vlogging family.
16620	20220	"- Good morning, guys. Today, we're going to do a day in the life weekend style."
20220	24520	At the center of the household, a loving mother by the name of Micah.
24520	29580	"- It's going to be perfectly clean. I want it to smell like baked goods with flowers and candles lit.
29580	32080	I just want it to be like the perfect hot fall evening."
32080	34080	Micah Stauffer.
34080	36580	She was the loving mother of five children.
36580	40580	Jacob, Kova, Bradley, and Onyx.
40580	42580	Hang on a minute.
42580	45580	One, two, three.
45580	47580	I only named four.
47580	52580	"- Yeah. Oh, baby.
52580	55580	I love you so much. You're my buddy."
55580	58080	Ah, that's right.
58080	60580	We don't do the happily ever afters here.
60580	64080	Hello, ladies and gentlemen, and welcome to The Right Opinion.
69680	74880	Family. For better and for worse, there is no connection like the one you create with the family.
74880	76680	I've discussed this time and time again,
76680	80780	so I shan't go into too much depth on my philosophical thoughts on one's kin's folk.
80780	85280	But as you're aware by this point, emotional potential breeds market potential,
85280	89280	and the family channel took its place on the YouTube terrain a long time ago.
89280	92180	Now, family channels are no stranger to criticism.
92180	97880	The extent that some families will go for views often places some of the channels at odds with the rather rigorous standards
97880	100580	that audience members impose on such creators.
100580	102080	Why do these standards exist?
102080	103580	Well, because of the children.
103580	110080	If you are a parent, many would assert that you have a responsibility to preserve as idyllic a childhood as possible for your offspring,
110080	116480	and that degree of responsibility is only amplified when you are uploading content of your family onto a public platform.
116480	121480	In spite of this, most criticism is typically confined to parents failing to be adequate role models,
121480	125880	not just for their own family, but for others who they are supposed to be educating through their content.
125880	131380	Some of these escapades may lead to others asking if these families are equipped properly to even have children.
131380	137280	However, it is certainly parents who are asking that question themselves or even acting on such an inclination.
137280	140280	This is where today's subjects appear to be an exception.
145980	149280	As the introduction preface, this is Micah Stauffer.
149280	153680	She's a family vlogger who has been sharing her life with us since 2014.
153680	158180	Her husband, James, is a mechanical engineer and runs the channel Stauffer Garage,
158180	162580	where he shares some of the work he does and occasionally reacts to poorly looked after vehicles.
162580	165280	So it appears that such talent runs in the family.
165280	168780	They were wedged shortly after the launch of the channel in July 2014,
168780	171980	revealing their heartwarming success story in the same month.
189780	193980	Micah's oldest child, Kova, was born in 2011 to a different partner.
193980	197280	She was brought forward onto the vlog channel as the resident toddler,
197280	202680	and over the following years, Micah built a family alongside her YouTube channel, sharing each step of the way.
202680	208380	Two more children were born in this time, Jayka and Radley, with each pregnancy being documented fairly extensively.
208380	213480	13 weeks, 14 weeks, 15 weeks, 16 weeks, 17 weeks, you get what I'm saying.
213480	217980	She'd also promote postnatal well-being, in particular weight loss, a lot of weight loss.
217980	221280	In fact, Micah was proud of her lean physique, self-care,
221280	224680	and wanted to impart that wisdom upon all of her loyal followers.
