start	end	text
0	8080	As you can see by that timer on the screen, the Lord of the Rings, the Rings of Power
8080	9680	comes out in 45 seconds.
9680	10680	Are you guys ready?
10680	11680	No.
11680	12680	We can't wait.
12680	13680	This is good.
13680	18120	And I say that with a full sarcasm.
18120	20200	I'm here with Lilith and Arch and Kibs.
20200	21200	Hello everyone.
21200	22200	How's it going?
22200	23200	Hello everyone.
23200	24480	Arch and Kibs.
24480	29280	So last night I watched the Fellowship of the Ring extended edition with Naomi just
29280	33160	to have like a taste of something good before I knew this was going to come out.
33160	34320	And you know what?
34320	35320	It still holds up.
35320	39580	It's a bit goofy in that 1999 way, but it still holds up generally.
39580	40580	You know what I mean?
40580	43880	It's going to be a classic probably for all time, honestly.
43880	45920	Peter Jackson did a good job with those movies.
45920	50880	The first three are just always going to be like the Lord of the Rings movies.
50880	51880	Yeah.
51880	54120	Before the movies, I actually really wasn't that interested in Lord of the Rings.
54120	55680	I became interested in it after.
55680	67480	In fact, my first Lord of the Rings experience was that god-awful Super Nintendo game, which
67480	70680	turned me off of the entire franchise for like a decade.
70680	71680	Damn.
71680	72680	I don't even know what game you're talking about.
72680	74500	Why is there an animated series?
74500	77880	The fucking animated movies.
77880	83800	Oh yeah.
83800	87600	They're definitely products of their time because the style is ancient, but they are
87600	88600	one-of-a-kind movies.
88600	90520	I forget the name of the animator who did that.
90520	96120	I remember being super scared of Sauron as a kid.
96120	103960	Like when Sauron came on, my eyes would just be fixed like, oh, he's looking at me.
103960	104960	Well now he's M&M.
104960	107600	That might be a priest of Melkor.
107600	108600	Maybe.
108600	109600	We'll see.
109600	112840	There's conflicting stuff about it, but if that's what Sauron looks like, I'm going to
112840	113840	lose my shit.
113840	118920	At some point, I'll have to do like an actual proper video about this show.
118920	123600	This is just going to be like our series debut watch party since we're all hanging out tonight
123600	124900	and watching it.
124900	129760	But I mean, there's been so much stuff coming out about just how bad the show looks, how
129760	131680	the costumes are shit.
131680	136560	Apparently the intro looks like it's something out of a daytime soap opera.
136560	139480	It's a drastic variation in color.
139480	140480	Right.
140480	141560	I've seen the intro.
141560	143040	It looks like a complete joke.
143040	146800	Are we going to watch like some step wives slapping each other?
146800	147800	Nice.
147800	148800	What's going on here?
148800	151960	Dude, if you could have two elven wives, wouldn't you?
151960	153960	Elves are for enslaving.
153960	157900	They're going to get canceled.
157900	162760	It's the variation in the quality that I think has stood out the most to a lot of people
162760	165480	because some of the gear does not look bad.
165480	168280	Like Galadriel's plate armor looks like plate armor.
168280	170800	She shouldn't be wearing it, but beyond that.
170920	176180	And then you've got that lamellar style armor that the Numenoreans wear, which looks like
176180	181480	some kind of a t-shirt with a scale male pattern painted onto it.
181480	182480	Oh, I saw that.
182480	183480	Yeah.
183480	184480	I don't get it.
184480	185480	Why does it look like cheap?
185480	191360	This is like an Amazon Prime show, isn't it right?
191360	194720	Like you would imagine they have lots of lots of money.
194720	200760	You would think they'd be able to afford to pay the say custom designers a little more.
200760	202160	You definitely think, yeah.
202160	206640	But the one thing I will say, you could definitely tell, at least from the trailer, the hand-picked
206640	211520	CGI scenes, like there was a serious amount of effort and money put into those.
211520	215760	When they're like, here's the trailer shots that will make everyone want to watch this.
215760	220680	There's a bunch of CG and then a bunch of characters that just look really cringy.
220680	222840	Yeah, the character designs are bad.
222840	225360	The CGI scene shots don't look half bad.
225360	229320	Yeah, we're going to have to see how this all comes together, and I'm a little bit skeptical
229320	230640	about this whole show.
230640	232440	I think it's just going to be a train wreck, honestly.
232440	234040	Hopefully it'll be a fun train wreck.
234040	236040	I'm hoping in mind, maybe.
236040	245160	I'm hoping it won't be as bad as everybody's is, but it probably will be in all that likelihood.
245160	249000	If it is, okay, if this is a train wreck, it's going to be a train wreck that we're
249000	252320	going to have to live with for five seasons because they've already ordered five seasons
252320	253320	of it.
253320	256080	I can't, like if it's bombs, they're going to cancel it.
256080	258080	I hope to God.
258080	263440	This is the survival of Amazon Studios on the line.
263440	265800	This will not be canceled.
265800	269320	They will push this turd almost no matter what.
269320	276680	Well, there was one that basically said that this will determine prime video going forward.
276680	279560	There's the meme of everyone saying, no fucking hate watching.
279560	280560	Sorry, guys.
280560	282240	We're doing it so that you don't have to, okay?
282240	285280	We'll do it because we're the YouTubers, okay?
285280	287960	You guys, no fucking hate watching out there, all right?
287960	288840	Yeah.
288840	291840	Special exception for us because we're part of the elite now.
291840	295680	Dev laughs, but he's like, yeah, that's true.
295680	296680	We are the new bourgeois.
296680	299040	It doesn't work.
299040	307400	Not like refusing to watch it isn't going to work because we make up 0.0000% of Amazon's
307400	309080	market cap here.
309080	310480	That's not going to make a difference.
310480	313680	Us watching it and honestly reviewing it will.
313680	317400	Yeah, it's true because people will see the review and then be like, oh, well, this sucks.
317400	321320	And then if you have 10,000 of those or 100,000 bad reviews, that does add up.
321320	322840	You have the Gronton Tomato scores and stuff.
322840	328880	Those 100,000 bad reviews is far more powerful than 100,000 people who didn't watch it.
328880	332840	That's one of the reasons why I felt compelled to do the Kenobi video, even though it was
332840	335880	kind of a little bit old by the time I did it, I was like, you know what?
335880	338560	I should try my hand at doing this sort of thing.
338560	342120	So Kibs, Kibs is the one controlling the video feed.
342120	343440	We're already 10 minutes behind.
343440	344440	You're ready?
344440	346440	Kibs, Twitter already knows about this.
346480	350960	Kibs, I'm letting you Twitter already knows we have to catch up if you have to be involved
350960	351960	in the newest thing.
351960	357160	I have to get I have to figure out how this works even because it's like the episodes
357160	358160	are out.
358160	359280	There it is.
359280	360280	They just came out.
360280	362040	Let's watch this shit.
362040	363040	Here we go.
363040	364040	It's starting.
364040	369020	I also have the pleasure to announce that the episodes are already up on the torrent
369020	370520	sites as well.
370520	376080	So if you don't want to support Prime, I'm not suggesting alternatives.
376080	380480	You can hate watch on the seven seas, so to speak.
380480	383280	You're her fidgety.
383280	385560	Nothing is evil in the beginning.
385560	387160	This is how Google began.
387160	389160	Nothing's evil in the beginning.
389160	393160	But even then, there was light.
393160	396160	You mean our Mary Sue?
396160	401160	Even you could have possibly believed there was a scrapbook float.
401160	403040	It's not going to float.
403040	406760	I hate how the elves are just people.
406760	407760	Are these elves?
407760	408760	Wait, I can't even tell.
408760	411020	They've got like regular ears.
411020	412020	You show them.
412020	413020	They're slightly pointy.
413020	415020	Like, look, they're slightly pointy.
415020	416020	Yeah, she's an elf.
416020	417020	Yeah, I guess.
417020	418020	Oh, my God.
418020	419020	It's a little fucking spawn.
419020	420020	Whee!
420020	422240	Oh, it's a magic origami.
422240	425080	Galadriel made a magic spawn.
425080	429520	Oh, evil toxic masculinity.
429520	432800	Toxic fucking white boy males at it again.
432800	437400	Wow, this story is already really bad.
437400	439080	These are elves.
439080	440160	They look like people.
440160	442400	They speak like people.
442400	443400	Like humans.
443400	444400	What the fuck?
444400	448100	Yeah, the ears aren't pointed enough, you know?
448100	450480	It's the way they shoot it, too.
450480	452800	The way they did it in the movies was actually brilliant.
452800	454320	It gave them an in the luminescence.
454320	456600	Yeah, they kind of glowed.
456600	462320	You know, at this point, I think I preferred the three long pointed ears, like a foot long.
462320	464520	You see those in Warcraft's highlighters?
464520	466840	This guy's barely got pointed ears at all.
466840	469100	Also, they should not be talking about darkness.
469100	470360	This is the first age.
470360	473280	They don't even know darkness exists yet.
473280	478560	Ah, that's that's her brother, isn't it, Finrod?
478560	479560	If I had to guess, yes.
479560	481880	But you must learn to discern them for yourself.
481880	484560	I won't always be here to speak them to you.
484560	486360	Oh, no.
486360	489080	Come along.
489080	490080	Foreshadowing much?
491080	493280	God, this is really bad.
493280	496000	Death flags abound.
496000	500080	We have two death flags on them already.
500080	502920	Nice and subtle.
502920	508500	The symbolism of him walking away over the horizon and she not following and her crying.
508500	511280	And she's talking about death.
511280	516880	Oh my God, Story, can you stop?
516880	520440	The two whatchama doozies, I forget their names.
520440	521440	The Elden Ringtrees.
521440	524880	Oh, doing a bit of a time skip, I see.
524880	525880	Just a bit.
525880	526880	Oh, my Jesus.
526880	527880	OK.
527880	528880	Yeah, we.
528880	529880	All right.
529880	532960	We're skipping to this part, fair enough.
532960	536280	How many how many years have we skipped now?
536280	537280	Quite.
537280	539400	I think a thousand, maybe over now.
539920	547920	They're now basically pursuing Morgoth to recover the light of Valinor, a place known
547920	550080	as Middle Earth.
550080	551080	Oh, my God.
551080	552080	I clapped.
552080	554080	I clapped when I saw it.
554080	557040	Oh, God, I hate this shot.
557040	560000	You see, this helmet symbolizes dead soldiers.
560000	563720	Don't worry, it's not just that helmet.
563720	568000	Yeah, here we go.
568000	569720	That's good stuff right there.
569720	576720	So what I shot, we did is collect all the helmets of the elves died.
576720	582920	It is the most unelven thing ever to just pile up those helmets of dead elven soldiers.
582920	585440	Hey, have you guys heard that orcs are black coated?
585440	587440	I don't know what you're talking about, Dev.
587440	589040	I don't want to get cancelled.
589040	595200	Oh, my God, we time skipped to his death even.
595200	597080	So how many years now?
597080	598080	How many years?
598080	602800	Honestly, we're in the thousands, and that's kind of all I know.
602800	605680	I think we're out of the first agent of the second now, aren't we?
605680	607360	Yeah, we're in the second age now.
607360	610600	So we skipped over the entire first stage.
610600	611600	That's good.
611600	616920	Because remember, Lord of the Rings takes place during the third age.
616920	620880	He became a girlboss.
620880	623040	Gaslight Gatekeep Girlboss.
623040	624040	Yes.
624040	628480	Galadriel is personally chasing us.
628480	631960	I assume she didn't originally do this, did she?
631960	633100	No.
633100	638800	Is it just me or is their voices really soft with the music overpowering?
638800	640520	That's been TV and movies for the past decade.
640520	642400	Look at how strong she is.
642400	645160	She's way ahead of everybody.
645160	647560	Of course, they're holding her back.
647560	655960	This was the show I was demonstrating.
655960	661400	Oh, the fuck boy is keeping the girlboss down?
661400	663600	He'll be wrong enough to apologize.
663600	664600	Or die.
664600	666200	She doesn't care about her men, though.
666200	667200	Jesus Christ.
667200	670440	Considering that I did just watch Fellowship, there was that scene where they were on the
670440	673200	mountain, and they were like, we have to turn back.
673200	675200	And then they did.
676200	678200	Galadriel is far stronger than I.
678200	679200	That's abandoned.
679200	681200	She's gonna abandon her own men.
681200	683200	Feels like how empowered she is.
683200	684200	She's like, no, we keep moving.
684200	685200	Oh, no.
685200	696680	My fucking bad command has gotten one of these elves, like, fucking badly injured.
696680	697680	But there it is.
697680	701400	She was right all along.
701400	703240	It's just Elsa's palace.
703280	705280	I hate these elves.
705280	707280	They're not elves.
709280	712280	They're not token elves, at least.
712280	716280	Galadriel just punched through an ice wolf the best.
716280	717280	Well, hold on.
717280	719080	I don't fully know this lore.
719080	722280	Do the elves have super strength like some elves do in this?
722280	726280	They are stronger than mortal men, if I remember right.
726280	727280	Faster.
727280	732680	But not, not punching through a solid wall of ice with their fucking hands in two blows
733120	735120	Probably not that.
735120	737120	Her girl energy makes that possible.
737120	739120	Girl energy?
739120	741120	See, we're in the second age now.
741120	743120	It's second wave elven feminism.
745120	748120	Don't worry, she's super smart and knows everything.
748120	751120	She's a special snowflake, in fact.
753120	757120	That's not how he works, but details.
757120	761120	According to Amazon, actually, it is.
761560	763560	According to Jeff Bezos.
763560	769560	Actually, Jeff Bezos said this isn't his fault.
769560	770560	The show.
770560	771560	Wait, what?
771560	772560	Yeah.
772560	773560	Apologize.
773560	775560	He apologized before the show started.
775560	776560	No way.
776560	777560	Yeah.
777560	779560	I'm sorry, guys.
779560	781560	That's hilarious of Joe.
781560	782560	Jeez.
782560	788560	Literally, what Lou had pointed out, the men are only holding her back.
788560	790560	They're constantly questioning.
791000	792000	There's something here.
792000	793000	He wasn't here.
793000	795000	Can we go home and he's a bitch?
795000	797000	I'm right.
797000	799000	He's always gotta be right.
799000	802000	As we'll probably see throughout the entire thing.
802000	803000	She's always right.
803000	804000	I mean, she's already flawless.
804000	805000	What has she done wrong?
805000	808000	Even when she was a kid, she was perfect, but the children were holding her back.
808000	811000	The white males were holding her back, really.
811000	812000	She...
812000	813000	Oh, shit.
813000	816000	You know, these guys aren't acting like elves, by the way.
816000	820000	Bumbling around an ancient ruin like a bunch of muppets.
820440	822440	That's because she has to save them.
822440	825440	In a lot of stories, elves are just like humans with pointed ears.
825440	827440	Maybe they have more magic, maybe they're stronger.
827440	829440	Like Vulcans, basically, sometimes.
829440	831440	Or like in Warcraft, they're just like other people.
831440	836440	But in Lord of the Rings, aren't they supposed to be like almost godlike?
836440	837440	Fine.
837440	840440	Now, fastly superior to humans.
840440	841440	Yeah.
841440	847440	And the easy thing about you is an actual scene of a fucking human.
847440	849440	I love how right I was.
849880	850880	Christ.
850880	851880	She...
851880	855880	They couldn't do anything to it, but only she could.
855880	856880	Yep.
856880	858880	She's the only confident one of the bunch.
858880	859880	Also, I thought...
859880	861880	I think she's such a bitch.
861880	862880	Uh-oh.
862880	864880	The fuckboy's gonna say something.
864880	866880	Gotta hold the girlboss down.
866880	868880	All these white men holding her back.
868880	870880	Fucking white people, am I right?
870880	872880	Are you...
872880	876880	Are you literally, like, laying down your arms?
877320	879320	No, serious...
879320	880320	Oh, that's...
880320	881320	Ah, fuck me.
881320	886320	They laid down their arms before her feet like a bunch of fucking retard.
886320	889320	Right, so we're off to a horrific start.
891320	893320	Oh, god, is it the retarded people?
893320	894320	Yes, it is.
894320	895320	Yes, it is.
895320	896320	Why do they have those?
896320	898320	Like the wind would blow them over.
898320	899320	Yes, it would.
899320	901320	I love the antler people.
901320	902320	Look at that.
902320	903320	What is that?
903320	905320	They just have giant antlers on their back.
905760	907760	Okay, so this was shown off early on.
907760	910760	Yeah, so these are like hunters, but they wear giant antlers for some reason.
910760	911760	And they just look retarded.
911760	913760	And they were like, look at the new Lord of the Rings.
913760	915760	And this is like the first picture they showed.
915760	918760	And these people, they just look so fucking stupid.
918760	921760	This is the early second age, they're talking about barstools?
921760	923760	These should be fucking neolithic savages.
923760	925760	I have to guess.
925760	929760	I would say they're like wearing the antlers to appear bigger to animals.
929760	931760	See, that's not wrong.
931760	933760	But like, that would scare away predators.
934200	936200	But you'd have a hard time hunting like that.
936200	938200	Oh god, we have the harfoots.
938200	940200	Oh no.
940200	942200	Don't worry, we have a black one too.
942200	943200	Don't ask me how.
943200	944200	So what are these guys?
944200	946200	Are these guys just like Kokiri or something?
946200	947200	Like primitive poppets.
947200	952200	Yes, but Amazon can't call them hobbits because they don't have the rights to the hobbits.
952200	953200	Wait, they actually don't?
953200	954200	Really?
954200	955200	Nope.
955200	956200	They don't.
956200	957200	That's why these are harfoots.
957200	958200	These aren't canon.
958200	959200	Wait, hold on.
959200	960200	Hold on.
960200	961200	It's pseudo.
961200	962200	Wait a second.
962200	963200	Explain this to me.
963640	964640	They've got access to the...
964640	965640	Oh god, what's the English word?
965640	966640	You know, the list of things that's in the book.
966640	967640	But they don't have anything to do with the actual Lord of the Rings books.
967640	968640	They've got like the summaries and stuff.
968640	969640	Oh, but not the actual main stories.
969640	970640	Okay.
970640	971640	No.
971640	972640	Which means that they don't actually own hobbit hobbits,
972640	973640	and so these aren't hobbits.
973640	974640	These are harfoots.
974640	975640	And that's why they've specifically said, Lenny Henry here in fact specifically said,
975640	976640	that the harfoots weren't hobbits.
976640	977640	Now, that's bullshit according to the lore, but...
977640	978640	I don't know.
978640	979640	I don't know.
979640	980640	I don't know.
980640	981640	I don't know.
981640	982640	I don't know.
982640	983640	I don't know.
983640	984640	I don't know.
984640	985640	I don't know.
985640	986640	Like, Shunkus.
986640	987640	You guys were all thinking it.
987640	988640	Yep.
988640	989640	A little bit.
989640	1002000	Look at the way they're shooting this.
1002000	1004920	They're shooting from down and up all the time.
1004920	1009140	The hobbits don't look like hobbits, they look like, again, just fucking people.
1009140	1015360	Yeah, so I recall seeing a making of the original Lord of the Rings way back in the day.
1015360	1020400	showed like all the camera angle tricks to make um to make elijah wood look so much smaller than
1020400	1025280	everyone else right yeah they built the cart with like the seat in the back and like all that stuff
1025280	1030160	they really made them look like they were tiny people and this i don't get that feeling from
1030160	1038240	this at all why do you got leaves in your hair because they're quirky their culture it's their
1038240	1046320	culture basically it's a a very lazy way to make them look oh they're like either finicky
1046320	1053040	so i'm guessing they're like tree ground uh hobbits i'm guessing well the thing is
1053840	1060000	in the show they're described as no uh nomadic people that travel with the growing seasons
1060880	1065680	for all the sense that makes and they're supposed to be super stealthy so i'm assuming that's why
1065920	1073760	they've got branches in their hair oh that's their camo not wolf ah fuck me
1075520	1079200	i heard you're just gonna have an aneurysm watching this the thing is i'm not even the
