start	end	text
0	3700	This video was made possible by Squarespace.
3700	8740	Build your website for 10% off at squarespace.com-slash-wendover.
8740	14940	Overnight shipping is an absolute masterpiece of logistics that happens every single night.
14940	19840	It may not be cheap, but you can get a package shipped from Miami, Florida on a Monday to
19840	23560	Anchorage, Alaska by 8.30am on Tuesday.
23560	28100	In fact, you can even ship a package, for example, from Edinburgh, Scotland on a Tuesday
28100	32900	and have the package arrive in Anchorage, Alaska by 9.00am on Wednesday.
32900	37820	The speed and efficiency of these worldwide delivery networks is mind-blowing and it all
37820	39900	happens while we sleep.
39900	45100	The three major consumer courier companies are FedEx, DHL, and UPS and each of them is
45100	46980	as impressive as the last.
46980	52100	FedEx has more planes than Emirates, Etihad, and Qatar Airways combined, DHL delivers to
52100	56920	every country in the world including North Korea, and UPS flies to more than double as
56920	60160	many destinations as the largest passenger airline.
60160	64640	Each has a global network that allows for lightning fast shipping at relatively low
64640	65720	prices.
65720	71080	Behind all this speed are enormous air networks that connect the entire world daily.
71080	76060	Each of these three operates hundreds of flights nightly, but FedEx is the best example since
76060	80040	their operations make them the largest cargo airline in the world.
80040	86720	They have 650 planes flying to 400 destinations carrying 6 million packages every single day
86720	91760	and the vast majority of these flights operate to or from one of their hub airports.
91760	96320	FedEx's hub airports are spread out all across the world and serve as sorting points
96320	99360	where packages are transferred from one plane to another.
99360	105480	They have hubs in Singapore, Guangzhou, Shanghai, Seoul, Osaka, Anchorage, Oakland, Dallas,
105480	111760	Indianapolis, Greensboro, Miami, Newark, Toronto, Paris, Cologne, Milan, and Dubai, but the
111760	117640	most important hub of all is the one in Memphis, Tennessee because that's their super hub.
117640	123520	Memphis is not a huge city, only about 650,000 people live there, but the reason FedEx centers
123520	127960	their worldwide operations in this city is because of its location.
127960	132640	Memphis is not actually in the geographic center of the US as might make sense, but
132640	134280	it is central.
134280	139440	You see only about 200 miles away in Wright County, Missouri is the mean population center
139440	140780	of the US.
140780	145540	This is the average location of every resident in the US meaning that the FedEx super hub
