start	end	text
0	10620	You guys heard about Vertigear? They're the ones who make those mega awful gamer chairs.
10620	14080	You know, they all have different brands on them but they basically just look alike. They're
14080	20260	overpriced, uncomfortable, low quality, and just all around not worth the buy. Yeah, those
20260	25120	guys. Well, regardless of the quality of the product, this happened recently. The official
25120	30560	Vertigear Twitter account posts, is this accurate? And it shows a male streamer. Normal twitch
30560	35420	setup, right? Gameplay, facecam, mic, female streamer. Where it's inverted, the focus is
35420	39600	clearly on the woman and not the gameplay. This is actually just a recreation of this
39600	44040	ancient meme from like 15 years ago. You'd see this floating around all the time on year
44040	49040	1 4chan. It's making fun of a certain little bit of human psychology which, if you're able
49040	53440	to accurately observe the world, you have to admit on some level is true. Not for everyone
53440	59040	obviously but in general. Well of course it's not 2007 anymore, it's 2021. This absolutely
59040	62840	blew up and now everybody is trying to dig into Vertigear to find all the problematic
62840	67560	things they've said. And oh boy are they finding a lot of them. And by a lot of them honestly
67560	73240	it's just regular memes that only terminally online people would complain about. And of
73240	78280	course because it's 2021, after going viral they immediately cucked out, gave in, and
78280	82600	posted a big long tweet about how sorry they are and how they're committed to diversity
82600	86240	and inclusion and blah blah blah. And they posted a second one. But in this one they
86240	90560	actually admitted that the poor intern who was running the account got fired. I mean
90560	94360	there was no reason to ever buy these products before but there's certainly not one now.
94360	98060	To nobody's surprise, Karens are coming out and trying to get the other companies that
98060	103100	work with Vertigear to stop doing so. Said Karen is also accepting donations for her
103100	108640	brave activism. One such individual is Miss Henley TV. You deleted it but you can't pretend
108640	113060	that it wasn't tweeted Vertigear. You owe the women in the industry a major apology.
113060	116840	How dare you say that women only use their looks on Twitch?
116840	121960	Also from Miss Henley, here's her OnlyFans. It's currently 60% off. And she also streams
121960	127640	Call of Duty Black Ops along with a Bikini Pool stream if she gets enough donations.
127640	133440	The exact people who were getting mad at Vertigear for making this post are the very people that
133440	139480	it was criticizing. And if there is a serious problem with Twitch it is the open brazenness
139480	145760	of the thoughts. Some will lie around all day and take donations to fart into their
145760	151520	microphones. Oh and by the way, the farter, the one who's currently writing donators
151520	156760	names on her body. In 2017 she said, I'm ashamed to say that Twitch is a platform that
156760	161120	supports lazy females selling their bodies for cash. You are teaching little girls to
161120	167880	sell sex, make them wear t-shirts and pants, compete on the same playing field as men,
167880	172160	feminism is equality, spread the word. Where did that go? You've got Amaranth making
172160	177840	totally not sexual content, dressing up like this and licking her microphone, or even better
177840	183380	bouncing around on a bed in what looks like some kind of Spiderman costume I think wearing
183380	190120	a horse head. What the fuck are we watching? These two girls did get banned but only temporary.
